"n_sim","sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
100,1000,0.94,1.47768303938602,-0.0225768083524451,0.0204754737230239,0.143556771086424,0.151454636681506,0.0231640024576901
200,1000,0.94,1.49253363374881,-0.00652574551272503,0.0218701564543673,0.149835426211358,0.150938630894415,0.0230285461815589
500,1000,0.948,1.50221243827416,0.0017948769889083,0.0225458729196256,0.152011950974167,0.150723336601762,0.0229560708822876
