"sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
1000,0.96,1.51338188884059,0.0143225095790555,0.0236849112120968,0.155568473231602,0.156129229033978,0.0246691178996386
2000,0.925,1.52170999541214,0.0215132622333004,0.0132550008477433,0.114425625736051,0.110805278762358,0.0123548829674637
5000,0.94,1.51586687957957,0.0165163193651024,0.00544528658183966,0.0723342915366244,0.0702020401035311,0.00493938736468796
