"sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
1000,0.575,1.79003083742554,0.290971458164005,0.10867078114272,0.159348496907149,0.169349370728163,0.029310234577959
2000,0.27,1.79730009476736,0.297103361588523,0.0989388281087607,0.104296831176092,0.11937220184412,0.0143735576639507
5000,0.02,1.79299462177525,0.293644061560785,0.0912347105177248,0.0715552931035705,0.0748653714412807,0.00562501647865614
