"n_sim","sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
100,1000,0.92,0.309003423188716,0.00851183085230044,0.00549295412211702,0.0747920269227507,0.0707092788439654,0.0051925767764919
200,1000,0.93,0.309925051091694,0.00965734607113735,0.00514521774758019,0.0717171632131157,0.0712253465891871,0.00525695441880572
500,1000,0.924,0.305630309605749,0.00539494207039656,0.00502176435013825,0.0707345277511716,0.0714411958476199,0.00525580666208044
