"n_sim","sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
100,1000,0.67,0.381980870930528,0.0814892785941123,0.00973908867896018,0.0568406389029598,0.052815842140488,0.00281921565776786
200,1000,0.615,0.38475510059162,0.0844873955710638,0.0099205101138663,0.0535492268906894,0.0520577159094572,0.00273422024631858
500,1000,0.636,0.384887383455793,0.0846520159204405,0.00995243775384897,0.0530091207912971,0.0522866291840243,0.00275940896104858
