"n_sim","sample_size","n_total","n_excluded","stage1_valid_n","variance_reject_n","variance_reject_rate","variance_not_reject_n","variance_not_reject_rate","stage2_valid_n","M_1_wins_n","M_1_wins_rate","M_2_wins_n","M_2_wins_rate","M_1_eq_M_2_n","M_1_eq_M_2_rate"
100,1000,100,1,99,99,1,0,0,99,2,0.0202020202020202,2,0.0202020202020202,95,0.95959595959596
200,1000,200,1,199,199,1,0,0,199,6,0.0301507537688442,6,0.0301507537688442,187,0.939698492462312
500,1000,500,1,499,499,1,0,0,499,20,0.0400801603206413,15,0.030060120240481,464,0.929859719438878
