"sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
1000,0.945,0.29306700842392,-0.00720069659663671,0.00854970466842669,0.092417002322946,0.098284713029415,0.010632741371686
2000,0.93,0.298860513876159,-0.00142991410860736,0.0051780202098139,0.0722453493939191,0.0662392580805034,0.00455972429643356
5000,0.955,0.2982406169216,-0.00193391704442154,0.0015976806233956,0.0399089531824858,0.0425438052544736,0.00183578565307564
