"sample_size","Coverage","Tau_SC_mean","Tau_SC_bias","Tau_SC_MSE","MC_SD","Mean_SE","Mean_Var"
1000,0.98,0.306064809643997,0.0057971046234402,0.00473038953516458,0.0692471043701283,0.0714051166833914,0.00519131144868226
2000,0.945,0.302813720700951,0.00252329271618555,0.00261743808307402,0.0511521474885291,0.0501259955821898,0.00253360473884071
5000,0.935,0.300332939588312,0.000158405622290103,0.000960156561748938,0.0310681577407252,0.0308205852653678,0.000951948228261013
